Area Code,Area,Item Code,Item,Element Code,Element,Unit,Y1961,Y1962,Y1963,Y1964,Y1965,Y1966,Y1967,Y1968,Y1969,Y1970,Y1971,Y1972,Y1973,Y1974,Y1975,Y1976,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018
"5305","Western Asia","3104","Nutrient potash K2O (total)","5610","Import Quantity","tonnes","6710.000000","6314.000000","5956.000000","8081.000000","10371.000000","11273.000000","15476.000000","22672.000000","22148.000000","25824.000000","26176.000000","43026.000000","44410.000000","43143.000000","11026.000000","25865.000000","25306.000000","16653.000000","40267.000000","51922.000000","30458.000000","46982.000000","67683.000000","71340.000000","100569.000000","113031.000000","98341.000000","100519.000000","122471.000000","111133.000000","89207.000000","132260.000000","138808.000000","97453.000000","110564.000000","123325.000000","114472.000000","114199.000000","125238.000000","140524.000000","100372.000000","152398.020000","179605.310000","201598.130000","226017.020000","191219.460000","229934.000000","184223.400000","132565.310000","172746.280000","188535.960000","184180.950000","195342.820000","242940.600000","300363.050000","319286.260000","355210.770000","351771.410000"
"5305","Western Asia","3104","Nutrient potash K2O (total)","5910","Export Quantity","tonnes","78711.000000","83707.000000","137888.000000","205900.000000","192760.000000","292190.000000","248880.000000","363410.000000","439765.000000","563925.000000","530500.000000","581285.000000","432095.000000","582035.000000","398995.000000","535240.000000","609950.000000","684501.000000","773900.000000","762300.000000","806900.000000","779800.000000","1064320.000000","1273700.000000","1635300.000000","1777800.000000","1914200.000000","1965400.000000","1954300.000000","2044930.000000","1857500.000000","1827581.000000","1919190.000000","2265300.000000","2346468.000000","2220811.000000","2476618.000000","2518443.000000","2532301.000000","2869484.000000","2751237.000000","1743077.410000","1729974.970000","2059752.700000","1848695.580000","1323943.390000","2445281.500000","2483854.320000","1097985.610000","2441069.950000","2382364.300000","1872573.770000","1914692.550000","2356101.940000","1484221.750000","1949726.840000","2347787.790000","2328637.430000"
"5305","Western Asia","3104","Nutrient potash K2O (total)","5157","Agricultural Use","tonnes","8954.000000","8530.000000","8395.000000","10934.000000","17021.000000","16073.000000","21566.000000","27827.000000","29733.000000","34979.000000","37056.000000","53976.000000","44039.000000","43953.000000","45631.000000","39567.000000","35898.000000","42314.000000","63275.000000","71089.000000","52554.000000","74947.000000","81556.000000","90134.000000","115522.000000","124929.000000","134818.000000","130780.000000","143506.000000","138903.000000","122532.000000","153805.000000","168208.000000","126753.000000","134655.000000","147003.000000","141448.000000","163542.000000","152808.000000","174101.000000","161505.000000","176352.670000","159060.860000","187884.820000","187042.810000","199489.710000","210919.480000","188002.850000","138599.050000","151611.850000","188191.290000","183768.470000","200369.700000","213781.960000","225423.420000","217573.100000","236213.490000","223843.880000"
"5400","Europe","3102","Nutrient nitrogen N (total)","5510","Production","tonnes","7270586.000000","7032786.000000","7950208.000000","9085955.000000","10484983.000000","11871813.000000","13356891.000000","14817614.000000","15352578.000000","16975979.000000","18137690.000000","19404535.000000","20698226.000000","22161360.000000","22500974.000000","23416532.000000","24520672.000000","26069190.000000","26559936.000000","27286509.000000","27127243.000000","28465122.000000","30729382.000000","31841767.000000","32045833.000000","32830639.000000","33107955.000000","33727622.000000","32221352.000000","28182575.000000","25839505.000000","22143279.000000","20397604.000000","19886157.000000","21292315.000000","21820209.000000","20268731.000000","19136725.000000","19876496.000000","19353197.000000","19585598.000000","20439597.980000","20620082.890000","22014933.720000","22607598.510000","22331184.390000","24118354.820000","22269065.830000","19484563.450000","22128884.790000","22493838.180000","22742516.550000","23118064.150000","22328486.340000","23309386.910000","23674882.340000","24072429.120000","24434214.430000"
"5400","Europe","3102","Nutrient nitrogen N (total)","5610","Import Quantity","tonnes","870974.000000","1008269.000000","1140240.000000","1121121.000000","1173282.000000","1158900.000000","1222469.000000","1385587.000000","1388944.000000","1508836.000000","1705695.000000","1902790.000000","1925148.000000","1623118.000000","2036411.000000","2152907.000000","2459168.000000","2969655.000000","3053593.000000","2984916.000000","3263933.000000","3760018.000000","4189145.000000","3985546.000000","4558057.000000","5178851.000000","5579401.000000","5692809.000000","6052630.000000","5976737.000000","5543853.000000","5188732.000000","5222667.000000","6057415.000000","6410694.000000","6650706.000000","6744617.000000","6740525.000000","6728544.000000","6292332.000000","6353739.000000","7650318.570000","8666252.650000","8000187.160000","7917138.880000","7423176.980000","6963959.610000","7790636.180000","6891103.560000","8149924.780000","9735243.690000","9652378.960000","10206902.630000","11230835.880000","11490503.670000","12599845.550000","13760854.430000","13042821.550000"
"5400","Europe","3102","Nutrient nitrogen N (total)","5910","Export Quantity","tonnes","2459677.000000","2058560.000000","2126853.000000","2137710.000000","2320317.000000","2886616.000000","3029615.000000","3532889.000000","3256688.000000","3486517.000000","3864465.000000","4098514.000000","4824981.000000","4640007.000000","4322206.000000","5278108.000000","5715079.000000","6478533.000000","6285281.000000","6963680.000000","6686027.000000","7459325.000000","8269630.000000","8988602.000000","8587516.000000","9491928.000000","9799189.000000","9986706.000000","10247371.000000","10149895.000000","10126181.000000","10470924.000000","10173279.000000","10685735.000000","13061082.000000","12808387.000000","11673166.000000","11238616.000000","11435918.000000","12161944.000000","11066825.000000","12659318.770000","13063677.290000","12920156.020000","13962669.000000","13429501.770000","13869286.210000","12884699.180000","12100400.760000","13793395.910000","17005161.170000","16935841.020000","16237396.500000","15932149.220000","15827984.440000","17262828.030000","17278116.250000","17795778.460000"
"5400","Europe","3102","Nutrient nitrogen N (total)","5157","Agricultural Use","tonnes","5490135.000000","6007750.000000","6677731.000000","7584506.000000","8733828.000000","9780411.000000","10949609.000000","12089045.000000","12858565.000000","14252237.000000","15433273.000000","16269201.000000","17478139.000000","18009732.000000","19583062.000000","19778805.000000","20474356.000000","21643602.000000","22026779.000000","22584907.000000","22802013.000000","23901189.000000","25463319.000000","25640744.000000","26590398.000000","27278402.000000","27419444.000000","27565955.000000","25569585.000000","22488624.000000","20046529.000000","15640945.000000","14666963.000000","13912154.000000","13711295.000000","14277614.000000","14063272.000000","13912009.000000","13976686.000000","13210510.000000","13506031.000000","13372739.980000","13556412.310000","13398976.720000","13060312.640000","13023574.250000","13946560.630000","13390075.210000","12826691.760000","13554826.790000","13761701.800000","13951306.410000","14307002.810000","14393740.140000","14615340.740000","14799839.590000","15065390.750000","14827326.310000"
"5400","Europe","3103","Nutrient phosphate P2O5 (total)","5510","Production","tonnes","6100668.000000","6211394.000000","6858404.000000","7988841.000000","8419714.000000","9109378.000000","9522403.000000","10197174.000000","10444278.000000","11464188.000000","11982337.000000","13555897.000000","12825783.000000","13364901.000000","12842534.000000","13528299.000000","14154424.000000","14304091.000000","14615963.000000","14152956.000000","14129824.000000","14331041.000000","14734304.000000","14846790.000000","15200664.000000","15634772.000000","15792170.000000","16325891.000000","15745837.000000","14149292.000000","12030379.000000","7425722.000000","6387634.000000","5004100.000000","5813589.000000","5497900.000000","6039518.000000","5625380.000000","5607145.000000","5276538.000000","4998620.000000","5448734.450000","5638678.720000","5929739.380000","6397956.250000","6475002.890000","6378672.850000","5941958.320000","3247829.420000","5760999.550000","5512544.270000","5146653.870000","5990383.660000","5881891.350000","6202058.370000","6387779.870000","6670218.620000","6791037.480000"
"5400","Europe","3103","Nutrient phosphate P2O5 (total)","5610","Import Quantity","tonnes","694995.000000","794503.000000","904506.000000","983583.000000","929613.000000","982981.000000","1125527.000000","1170069.000000","1224827.000000","1211032.000000","1387702.000000","1568492.000000","1735019.000000","1495132.000000","1656911.000000","1711033.000000","1917929.000000","2504864.000000","2411572.000000","2330035.000000","2302151.000000","2670092.000000","2773384.000000","2812081.000000","2989855.000000","3346459.000000","3712447.000000","3471944.000000","3389717.000000","3176640.000000","2719609.000000","2910412.000000","2722018.000000","3058430.000000","2985293.000000","2927672.000000","2875047.000000","2933872.000000","2945929.000000","2490715.000000","2512629.000000","3241676.210000","3659131.690000","3359201.880000","3000409.770000","2900923.700000","3137650.530000","2522239.280000","1955138.670000","2774926.430000","2943947.980000","3098248.590000","3630279.440000","3500114.370000","3611705.720000","3754650.910000","4690876.540000","3700617.550000"
"5400","Europe","3103","Nutrient phosphate P2O5 (total)","5910","Export Quantity","tonnes","822913.000000","902738.000000","977998.000000","1042748.000000","1055727.000000","1186512.000000","1347345.000000","1498440.000000","1388956.000000","1404910.000000","1575856.000000","1697898.000000","1875348.000000","1824614.000000","1237661.000000","1299766.000000","1598995.000000","1828110.000000","1994431.000000","2164432.000000","1886111.000000","2175958.000000","2359154.000000","2231454.000000","2286358.000000","2345940.000000","2523277.000000","2575704.000000","2475879.000000","2357309.000000","2365572.000000","3033093.000000","2790795.000000","2948539.000000","3257700.000000","3064500.000000","3443734.000000","3465100.000000","3650484.000000","3529812.000000","3007907.000000","4374325.430000","4653175.260000","4671867.040000","4429106.930000","4454802.430000","4634685.620000","4131537.270000","3370403.530000","4575089.240000","4846750.740000","4817395.380000","5084384.260000","4816112.960000","5139606.190000","5213081.270000","5548142.100000","5777499.590000"
